Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
movement        | NN         | nsubj      | migration       | NN        
migration       | NN         | compound   | Bird            | NNP       
movement        | NN         | cop        | is              | VBZ       
movement        | NN         | det        | the             | DT        
movement        | NN         | amod       | regular         | JJ        
movement        | NN         | amod       | seasonal        | JJ        
movement        | NN         | advmod     | north           | RB        
north           | RB         | advmod     | often           | RB        
north           | RB         | conj       | south           | RB        
south           | RB         | cc         | and             | CC        
south           | RB         | obl        | flyway          | NN        
flyway          | NN         | case       | along           | IN        
flyway          | NN         | det        | a               | DT        
movement        | NN         | acl        | breeding        | VBG       
breeding        | VBG        | mark       | between         | IN        
breeding        | VBG        | conj       | wintering       | VBG       
wintering       | VBG        | cc         | and             | CC        
breeding        | VBG        | obj        | grounds         | NNS       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
migrate         | VBP        | nsubj      | species         | NNS       
species         | NNS        | amod       | Many            | JJ        
species         | NNS        | nmod       | bird            | NN        
bird            | NN         | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
carries         | VBZ        | nsubj      | Migration       | NNP       
carries         | VBZ        | obj        | costs           | NNS       
costs           | NNS        | amod       | high            | JJ        
carries         | VBZ        | obl        | predation       | NN        
predation       | NN         | case       | in              | IN        
predation       | NN         | conj       | mortality       | NN        
mortality       | NN         | cc         | and             | CC        
carries         | VBZ        | advcl      | hunting         | VBG       
hunting         | VBG        | dep        | including       | VBG       
hunting         | VBG        | mark       | from            | IN        
hunting         | VBG        | obl        | humans          | NNS       
humans          | NNS        | case       | by              | IN        
carries         | VBZ        | conj       | driven          | VBN       
driven          | VBN        | cc         | and             | CC        
driven          | VBN        | aux:pass   | is              | VBZ       
driven          | VBN        | advmod     | primarily       | RB        
driven          | VBN        | obl        | availability    | NN        
availability    | NN         | case       | by              | IN        
availability    | NN         | nmod       | food            | NN        
food            | NN         | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
occurs          | VBZ        | nsubj      | It              | PRP       
occurs          | VBZ        | advmod     | mainly          | RB        
occurs          | VBZ        | obl        | hemisphere      | NN        
hemisphere      | NN         | case       | in              | IN        
hemisphere      | NN         | det        | the             | DT        
hemisphere      | NN         | amod       | northern        | JJ        
hemisphere      | NN         | acl:relcl  | funnelled       | VBN       
funnelled       | VBN        | advmod     | where           | WRB       
funnelled       | VBN        | nsubj:pass | birds           | NNS       
funnelled       | VBN        | aux:pass   | are             | VBP       
funnelled       | VBN        | compound:prt | on              | RP        
funnelled       | VBN        | obl        | routes          | NNS       
routes          | NNS        | case       | to              | IN        
routes          | NNS        | amod       | specific        | JJ        
funnelled       | VBN        | obl        | barriers        | NNS       
barriers        | NNS        | case       | by              | IN        
barriers        | NNS        | amod       | natural         | JJ        
barriers        | NNS        | nmod       | Sea             | NNP       
Sea             | NNP        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
Sea             | NNP        | det        | the             | DT        
Sea             | NNP        | compound   | Mediterranean   | NNP       
Sea             | NNP        | conj       | Sea             | NNP       
Sea             | NNP        | cc         | or              | CC        
Sea             | NNP        | det        | the             | DT        
Sea             | NNP        | compound   | Caribbean       | NNP       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
recorded        | VBN        | advmod     | Historically    | RB        
recorded        | VBN        | nsubj:pass | migration       | NN        
recorded        | VBN        | aux        | has             | VBZ       
recorded        | VBN        | aux:pass   | been            | VBN       
recorded        | VBN        | advmod     | ago             | RB        
ago             | RB         | obl:npmod  | years           | NNS       
years           | NNS        | nummod     | 3,000           | CD        
3,000           | CD         | advmod     | as              | RB        
3,000           | CD         | advmod     | much            | JJ        
3,000           | CD         | advmod     | as              | IN        
recorded        | VBN        | obl        | authors         | NNS       
authors         | NNS        | case       | by              | IN        
authors         | NNS        | amod       | Ancient         | JJ        
authors         | NNS        | amod       | Greek           | JJ        
authors         | NNS        | nmod       | Homer           | NNP       
Homer           | NNP        | case       | including       | VBG       
Homer           | NNP        | conj       | Aristotle       | NNP       
Aristotle       | NNP        | cc         | and             | CC        
authors         | NNS        | conj       | Book            | NN        
Book            | NN         | cc         | and             | CC        
Book            | NN         | case       | in              | IN        
Book            | NN         | det        | the             | DT        
Book            | NN         | nmod       | Job             | NNP       
Job             | NNP        | case       | of              | IN        
authors         | NNS        | conj       | species         | NNS       
species         | NNS        | case       | for             | IN        
species         | NNS        | nmod       | storks          | NNS       
storks          | NNS        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
storks          | NNS        | conj       | doves           | NNS       
doves           | NNS        | compound   | turtle          | NN        
storks          | NNS        | conj       | swallows        | NNS       
swallows        | NNS        | cc         | and             | CC        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
began           | VBD        | advmod     | recently        | RB        
recently        | RB         | advmod     | More            | RBR       
began           | VBD        | nsubj      | Leche           | NNP       
Leche           | NNP        | compound   | Johannes        | NNP       
began           | VBD        | obj        | dates           | NNS       
dates           | NNS        | amod       | recording       | VBG       
dates           | NNS        | nmod       | arrivals        | NNS       
arrivals        | NNS        | case       | of              | IN        
arrivals        | NNS        | nmod       | migrants        | NNS       
migrants        | NNS        | case       | of              | IN        
migrants        | NNS        | compound   | spring          | NN        
migrants        | NNS        | nmod       | Finland         | NNP       
Finland         | NNP        | case       | in              | IN        
dates           | NNS        | nmod       | 1749            | CD        
1749            | CD         | case       | in              | IN        
began           | VBD        | conj       | used            | VBN       
used            | VBN        | cc         | and             | CC        
used            | VBN        | nsubj      | studies         | NNS       
studies         | NNS        | amod       | scientific      | JJ        
used            | VBN        | aux        | have            | VBP       
used            | VBN        | obj        | techniques      | NNS       
techniques      | NNS        | nmod       | bird            | NN        
bird            | NN         | case       | including       | VBG       
bird            | NN         | amod       | ringing         | VBG       
bird            | NN         | conj       | tracking        | NN        
tracking        | NN         | cc         | and             | CC        
tracking        | NN         | compound   | satellite       | NN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
grown           | VBN        | nsubj      | Threats         | NNS       
Threats         | NNS        | nmod       | birds           | NNS       
birds           | NNS        | case       | to              | IN        
birds           | NNS        | amod       | migratory       | JJ        
grown           | VBN        | aux        | have            | VBP       
grown           | VBN        | obl        | destruction     | NN        
destruction     | NN         | case       | with            | IN        
destruction     | NN         | compound   | habitat         | NN        
destruction     | NN         | nmod       | stopover        | NN        
stopover        | NN         | advmod     | especially      | RB        
stopover        | NN         | case       | of              | IN        
stopover        | NN         | conj       | sites           | NNS       
sites           | NNS        | cc         | and             | CC        
sites           | NNS        | nummod     | wintering       | CD        
destruction     | NN         | conj       | structures      | NNS       
structures      | NNS        | cc         | as              | RB        
as              | RB         | fixed      | well            | RB        
as              | RB         | fixed      | as              | IN        
structures      | NNS        | nmod       | lines           | NNS       
lines           | NNS        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
lines           | NNS        | compound   | power           | NN        
lines           | NNS        | conj       | farms           | NNS       
farms           | NNS        | cc         | and             | CC        
farms           | NNS        | compound   | wind            | NN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
holds           | VBZ        | nsubj      | tern            | NN        
tern            | NN         | det        | The             | DT        
tern            | NN         | compound   | Arctic          | NNP       
holds           | VBZ        | obj        | record          | NN        
record          | NN         | det        | the             | DT        
record          | NN         | compound   | distance        | NN        
distance        | NN         | amod       | long            | JJ        
distance        | NN         | punct      | -               | HYPH      
record          | NN         | compound   | migration       | NN        
holds           | VBZ        | obl        | birds           | NNS       
birds           | NNS        | case       | for             | IN        
holds           | VBZ        | advcl      | travelling      | VBG       
travelling      | VBG        | obl        | grounds         | NNS       
grounds         | NNS        | case       | between         | IN        
grounds         | NNS        | compound   | Arctic          | NNP       
grounds         | NNS        | compound   | breeding        | NN        
grounds         | NNS        | conj       | Antarctic       | NNP       
Antarctic       | NNP        | cc         | and             | CC        
Antarctic       | NNP        | det        | the             | DT        
travelling      | VBG        | obl:tmod   | year            | NN        
year            | NN         | det        | each            | DT        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
circle          | VBP        | nsubj      | species         | NNS       
species         | NNS        | det        | Some            | DT        
species         | NNS        | nmod       | tubenoses       | NNS       
tubenoses       | NNS        | case       | of              | IN        
tubenoses       | NNS        | dep        | Procellariiformes | NNP       
tubenoses       | NNS        | nmod       | albatrosses     | NNS       
albatrosses     | NNS        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
circle          | VBP        | obj        | earth           | NN        
earth           | NN         | det        | the             | DT        
circle          | VBP        | advcl      | flying          | VBG       
flying          | VBG        | obl        | oceans          | NNS       
oceans          | NNS        | case       | over            | IN        
oceans          | NNS        | det        | the             | DT        
oceans          | NNS        | amod       | southern        | JJ        
circle          | VBP        | advcl      | migrate         | VBP       
migrate         | VBP        | mark       | while           | IN        
migrate         | VBP        | nsubj      | others          | NNS       
others          | NNS        | nmod       | shearwaters     | NNS       
shearwaters     | NNS        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
shearwaters     | NNS        | compound   | Manx            | NNP       
migrate         | VBP        | obj        | km              | NNS       
km              | NNS        | nummod     | 14,000          | CD        
km              | NNS        | dep        | mi              | NNS       
mi              | NNS        | nummod     | 8,700           | CD        
km              | NNS        | nmod       | grounds         | NNS       
grounds         | NNS        | case       | between         | IN        
grounds         | NNS        | nmod:poss  | their           | PRP$      
grounds         | NNS        | amod       | northern        | JJ        
grounds         | NNS        | compound   | breeding        | NN        
grounds         | NNS        | conj       | ocean           | NN        
ocean           | NN         | cc         | and             | CC        
ocean           | NN         | det        | the             | DT        
ocean           | NN         | amod       | southern        | JJ        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
common          | JJ         | nsubj      | migrations      | NNS       
migrations      | NNS        | compound   | Shorter         | NNP       
common          | JJ         | cop        | are             | VBP       
common          | JJ         | obl        | migrations      | NNS       
migrations      | NNS        | case       | including       | VBG       
migrations      | NNS        | amod       | altitudinal     | JJ        
migrations      | NNS        | nmod       | mountains       | NNS       
mountains       | NNS        | case       | on              | IN        
mountains       | NNS        | nmod       | Andes           | NNP       
Andes           | NNP        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
Andes           | NNP        | det        | the             | DT        
Andes           | NNP        | conj       | Himalayas       | NNP       
Himalayas       | NNP        | cc         | and             | CC        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
seems           | VBZ        | nsubj      | timing          | NN        
timing          | NN         | det        | The             | DT        
timing          | NN         | nmod       | migration       | NN        
migration       | NN         | case       | of              | IN        
seems           | VBZ        | xcomp      | controlled      | VBN       
controlled      | VBN        | mark       | to              | TO        
controlled      | VBN        | aux:pass   | be              | VB        
controlled      | VBN        | advmod     | primarily       | RB        
controlled      | VBN        | obl        | changes         | NNS       
changes         | NNS        | case       | by              | IN        
changes         | NNS        | nmod       | length          | NN        
length          | NN         | case       | in              | IN        
length          | NN         | compound   | day             | NN        

